id	area	evidence_source	observed_semantics	cad_core_s1_contract	oracle_or_boundary
GEOMPLATE-SRC-001	module-registration	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/AppPart.cpp:332; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/AppPart.cpp:385	Part.PlateSurface is registered in the Part module; Part.GeomPlate submodule registers BuildPlateSurface, CurveConstraint and PointConstraint	Model cad-core GeomPlate as a request-local geometry helper DTO, not as a fake FreeCAD DocumentObject	GEOMPLATE-FIX-001;GEOMPLATE-DIAG-001
GEOMPLATE-SRC-002	tools-make-surface	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Tools.cpp:138; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Tools.cpp:146; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Tools.cpp:159	Tools::makeSurface ignores theTol, constructs GeomPlate_BuildPlateSurface with fixed degree/tolerances plus caller nbPts/nbIter/maxDeg, and accepts a transient boundary list	Use as source for default constants and constraint mapping; do not expose theTol as an effective DTO knob	GEOMPLATE-DTO-002;GEOMPLATE-FIX-007
GEOMPLATE-SRC-003	tools-constraints	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Tools.cpp:171; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Tools.cpp:185; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Tools.cpp:215	Tools maps curve-on-surface to G1 curve constraint, plain 3D curve to G0 curve constraint, and Geom_Point to order-0 point constraint	S1 required path supports source-backed 3D curve G0 and point constraints; curve-on-surface G1 is deferred until curve-on-surface DTO exists	GEOMPLATE-DTO-004;GEOMPLATE-FIX-001;GEOMPLATE-FIX-005
GEOMPLATE-SRC-004	tools-approx	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Tools.cpp:231; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Tools.cpp:238; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Tools.cpp:250	After Perform(), Tools returns null if IsDone is false; otherwise it builds a G0 criterion from contour samples and returns GeomPlate_MakeApprox.Surface()	S1 must expose raw build status and approximation status separately so null/not-done is diagnostic, not a fabricated shape	GEOMPLATE-DTO-006;GEOMPLATE-DIAG-006
GEOMPLATE-SRC-005	buildplate-init	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/GeomPlate/BuildPlateSurfacePyImp.cpp:90; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/GeomPlate/BuildPlateSurfacePyImp.cpp:135; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/GeomPlate/BuildPlateSurfacePyImp.cpp:146	BuildPlateSurface constructor exposes Surface, Degree, NbPtsOnCur, NbIter, Tol2d, Tol3d, TolAng, TolCurv and Anisotropy, and can LoadInitSurface	DTO includes these build params and records initialSurface as a deferred optional field until S1 oracle proves it	GEOMPLATE-DTO-002;GEOMPLATE-FIX-005
GEOMPLATE-SRC-006	buildplate-run-inspect	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/GeomPlate/BuildPlateSurfacePyImp.cpp:212; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/GeomPlate/BuildPlateSurfacePyImp.cpp:260; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/GeomPlate/BuildPlateSurfacePyImp.cpp:292; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/GeomPlate/BuildPlateSurfacePyImp.cpp:507	Add copies only PointConstraint or CurveConstraint; Perform/IsDone/Surface expose the build result; G0/G1/G2 errors are queryable	Helper output metadata must include copied constraint counts, isDone, surface kind and G0/G1/G2 errors	GEOMPLATE-DTO-006;GEOMPLATE-DIAG-008
GEOMPLATE-SRC-007	curve-constraint	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/GeomPlate/CurveConstraintPyImp.cpp:52; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/GeomPlate/CurveConstraintPyImp.cpp:66; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/GeomPlate/CurveConstraintPyImp.cpp:94; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/GeomPlate/CurveConstraintPyImp.cpp:226	CurveConstraint requires GeometryCurvePy boundary with Order/NbPts/TolDist/TolAng/TolCurv; trimmed curves keep first/last parameters; curve G0/G1/G2 setter methods are not implemented	S1 DTO validates a real curve source, finite sample/tolerance values and order; custom curve criteria setters are not first-batch support	GEOMPLATE-DTO-004;GEOMPLATE-DIAG-003
GEOMPLATE-SRC-008	point-constraint	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/GeomPlate/PointConstraintPyImp.cpp:47; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/GeomPlate/PointConstraintPyImp.cpp:53; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/GeomPlate/PointConstraintPyImp.cpp:169; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/GeomPlate/PointConstraintPyImp.cpp:236	PointConstraint accepts a Vector point, Order and TolDist; it can set G0/G1/G2 criteria and optional 2D point on surface	S1 required fixture uses 3D point constraint; 2D-on-surface and custom criteria are separate optional rows	GEOMPLATE-DTO-005;GEOMPLATE-FIX-001;GEOMPLATE-FIX-005
GEOMPLATE-SRC-009	platesurface-wrapper	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/PlateSurfacePyImp.cpp:57; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/PlateSurfacePyImp.cpp:108; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/PlateSurfacePyImp.cpp:157; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/PlateSurfacePyImp.cpp:175	Part.PlateSurface requires at least surface/points/curves; surface-only adds four corner point constraints, points add point constraints, curves branch is TODO, makeApprox returns BSplineSurface	S1 oracle may use makeApprox on BuildPlateSurface surface; do not publish PlateSurface Curves wrapper support	GEOMPLATE-FIX-001;GEOMPLATE-FIX-006
GEOMPLATE-SRC-010	geometry-wrapper	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Geometry.cpp:5996; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Geometry.cpp:6033; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Geometry.cpp:6049; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Geometry.cpp:6991	GeomPlateSurface wraps GeomPlate_Surface, throws NotImplemented for persistence, returns PlateSurfacePy, and makeFromSurface recognizes GeomPlate_Surface	Capability wording must be geometry helper only; persistence/equality are not supported claims	GEOMPLATE-DTO-006;GEOMPLATE-DIAG-009
GEOMPLATE-SRC-011	filling-boundary	cad-core/src/adapters/c_api/c_api.cpp publishes separate `part_workbench.filling` and `part_workbench.geomplate` entries	Filling remains Part.makeFilledFace/BRepOffsetAPI_MakeFilling; GeomPlate is Part.GeomPlate.BuildPlateSurface geometry helper	`part_workbench.geomplate` is distinct and does not expand Filling coverage by implication	GEOMPLATE-SCOPE-006
