scope_id	parent_source	representative	initial_route	why_same_batch	cad_core_boundary	next_step
C7M7-SCOPE-000	C7-M6 release baseline;P8 live doc	C7-M7 live baseline and P8 Link/import covered boundary	baseline_closed	S0 froze HEAD=7be2d4e937, C7-M1..M6 empty queues and current P8 Link/import supported / expected-backed / diagnostic boundaries before any oracle or implementation	docs;matrix	done
C7M7-SCOPE-101	P8 Link baseline	Existing Link / LinkSub / LinkGroup / LinkElement request-local display and alias coverage	already_covered	Existing p8 fixtures/tests and S1 source review cover display, picking, alias retag, FullSubList, mapped postfix, cross-document alias updates, terminal / merge history propagation and request-local update suggestions; S2 keeps these closed	cad-core/src/app/link.cpp;cad-core/src/app/property_links.cpp;cad-core/tests/test_p8_features.py	done
C7M7-SCOPE-201	P8 imported-shape stable reference	BREP / STEP / IGES history_partial import ElementMap and imported Link chain	already_covered	Checked-in p8 expected already record import_shape_element_map history_partial keys for BREP / STEP / IGES and app-link-imported-element-map-chain proves Link consumes those aliases; OCCT bbox drift remains known_gap not active ElementMap gap	cad-core/src/part/part_import.cpp;cad-core/src/part/topo_shape.cpp;cad-core/src/part/topo_shape_mapper.cpp;cad-core/tests/test_p8_features.py	done
C7M7-SCOPE-202	P8 imported-shape stable reference	Complete imported-shape ElementMap and stable reference lifecycle for BREP / STEP / IGES	oracle_blocked	S4 found no source-backed native expected beyond S3 shape summary payloads; complete ElementMap and reference-update lifecycle evidence remain blocked until a native collector/probe can observe those fields	cad-core/src/part/part_import.cpp;cad-core/src/part/topo_shape.cpp;cad-core/src/part/topo_shape_mapper.cpp;cad-core/src/runtime/element_reference_update.cpp	S5
C7M7-SCOPE-203	P8 imported-shape stable reference	STL imported mesh complete ElementMap boundary	oracle_blocker	FreeCAD Mesh::Import stores Mesh, not Part TopoShape / PropertyPartShape ElementMap; S3 did not open a mesh-specific oracle package and current expected remains indexed_only	cad-core/src/mesh/feature_mesh_import.cpp;cad-core/fixtures/p8/expected/mesh-import-stl.freecad.json	done
C7M7-SCOPE-301	P8 ShowElement lifecycle	ShowElement documentObjectUpdates request-local apply-stable graph	already_covered	Current p8 tests cover create / claim / update / delete / toggle-off documentObjectUpdates and assert applying them yields a stable request graph with no further updates; this is not backend persistence	cad-core/src/app/link.cpp;cad-core/tests/test_p8_features.py	done
C7M7-SCOPE-302	P8 ShowElement lifecycle	LinkElement / LinkGroup persistent writeback transaction lifecycle	oracle_blocked	S4 found no source-backed native expected for persistent graph transaction fields; explicit ElementList transaction fixtures hit native read-only ElementList and successful fixtures only returned shape/object_fields	cad-core/src/app/link.cpp;cad-core/src/app/document_object.cpp;cad-core/src/app/property_links.cpp	S5
C7M7-SCOPE-401	P8 complex LinkSub chain	Object / label / numeric / FullSubList / mapped postfix request-graph coverage	already_covered	Existing p8 and c3m2 tests cover object-name, label, numeric, ElementList, FullSubList, mapped ;:X; alias, documentReference updates and label rename diagnostics; these rows must not be reopened as active gaps	cad-core/src/app/document_object.cpp;cad-core/src/app/property_links.cpp;cad-core/src/runtime/element_reference_update.cpp	done
C7M7-SCOPE-402	P8 complex LinkSub chain	Complete multi-layer LinkSub plus cross-document hash-postfix save/restore lifecycle	oracle_blocked	S4 found no source-backed native expected for persisted hash/postfix or restored FullSubList lifecycle; current seed fixtures only prove request-graph/source-equivalent alias behavior already covered by SCOPE-401	cad-core/src/app/document_object.cpp;cad-core/src/app/property_links.cpp;cad-core/src/app/link.cpp;cad-core/src/runtime/element_reference_update.cpp	S5
C7M7-SCOPE-501	P8 non-goal boundary	GUI, Workbench, frontend sync protocol, cross-request cache, Worker/WASM/Web	diagnostic_non_goal	These paths require UI/session/product adapter lifecycle or backend state and do not belong to this no-state CAD Core Link/import semantic batch	docs only	done
C7M7-SCOPE-601	C7M7-SCOPE-202;C7M7-SCOPE-302;C7M7-SCOPE-402	Implementation gate	oracle_blocked_no_code_publication	S4 closed the gate from blocker evidence: C7M7-SCOPE-202 / 302 / 402 remain oracle_blocked, C7M7-SCOPE-203 remains oracle_blocker, and no backend_gap_requires_implementation exists without source-backed native expected	docs;matrix	S5
