scope_id	source_id	scope_item	initial_route	current_evidence	cad_core_landing	owner_step	close_condition
C9M3-SCOPE-001	C9M3-SRC-101	live C9-M3 baseline	baseline_closed_s0	S0 live HEAD 04bdd2e561 clean status; C9-M2 queue empty with handoff b981e84f68; Assembly remaining_gaps=[] unsupported_joint_matrix=[]; PointCurve/default_or_todo_boundaries remain published; no cad-core source fixture expected tests changed	cad-core/src/runtime/capability_contract.cpp	S0	Closed in S0 after README and matrices recorded baseline and forbidden claims
C9M3-SCOPE-101	C9M3-SRC-201;C9M3-SRC-202;C9M3-SRC-301;C9M3-SRC-302;C9M3-SRC-303;C9M3-SRC-401;C9M3-SRC-403	PointCurve plane-of-curve	backend_gap_candidate_s3	S3 compared checked-in native expected and current runtime: expected solves PointCurve as ASMTPointInPlaneJoint offset=1.5 with ComponentB placement writeback and unsupported_joints=[]; current CLI output remains unsupported_assembly_solver with point_curve_diagnostic_boundary and documentObjectUpdates=[]; focused tests/source guard still assert DTO evidence plus diagnostic route	cad-core/src/assembly/joint_solver.cpp;cad-core/tests/test_p8_features.py;cad-core/fixtures/c3m6/expected	S6	Close in S6 by consuming expected-backed mismatch: remove PointCurve diagnostic guard and update tests/capability/expected metadata, or explicitly retain diagnostic with product boundary
C9M3-SCOPE-201	C9M3-SRC-201;C9M3-SRC-203;C9M3-SRC-301;C9M3-SRC-302;C9M3-SRC-303;C9M3-SRC-401;C9M3-SRC-403	existing default expected review	backend_gap_candidate_s4	S4 compared checked-in native expected and current runtime: PlaneCone LineCylinder CurvePlane Other expected are solved with native_solver.return_code=0 solver_adapter.status=solved unsupported_joints=[] and ComponentB placement writeback; FreeCAD default source maps them to ASMTPlanarJoint offset=getJointDistance and fixture Distance=1.5; current CLI recompute remains unsupported_assembly_solver with default_boundary_not_mapped message and documentObjectUpdates=[]; focused tests/source guard still assert no solver_joint_class and reason default_boundary_not_mapped	cad-core/src/assembly/joint_solver.cpp;cad-core/tests/test_p8_features.py;cad-core/fixtures/c3m6/expected	S6	Close in S6 by consuming expected-backed default mismatch: implement ASMTPlanarJoint offset for accepted rows and update tests/capability/expected metadata, or explicitly retain diagnostic with product/source reason
C9M3-SCOPE-202	C9M3-SRC-201;C9M3-SRC-203;C9M3-SRC-302;C9M3-SRC-303;C9M3-SRC-404	default branch missing oracle batch	notCollected_s4	CylinderCone ConeCone ConeTorus ConeSphere PointCone PointTorus LineSphere LineCone LineTorus CurveCylinder CurveSphere CurveCone CurveTorus have no checked-in input or expected under cad-core/fixtures/c3m6; FreeCAD source still classifies these default branch families, but S4 did not collect or refresh native oracle and does not mark them backendGap	cad-core/fixtures/c3m6;cad-core/tools/collect_freecad_expected.py	S4 closed;future oracle	Close by explicit notCollected route; future work must collect native expected before support or backendGap classification
C9M3-SCOPE-203	C9M3-SRC-201;C9M3-SRC-203;C9M3-SRC-301;C9M3-SRC-401;C9M3-SRC-403	default ASMTPlanarJoint mapping	backend_gap_candidate_s4_for_expected_only	FreeCAD default branch is ASMTPlanarJoint offset=getJointDistance; S4 proves PlaneCone LineCylinder CurvePlane Other native expected solved while current cad-core leaves default rows without solverJointClass and returns default_boundary_not_mapped; missing default branch families remain notCollected and native_oracle_required	cad-core/src/assembly/joint_solver.cpp	S6 for expected rows;future oracle for missing rows	Close expected-backed portion in S6 by implementing or retaining diagnostic; missing oracle rows stay notCollected until native expected exists
C9M3-SCOPE-301	C9M3-SRC-303;C9M3-SRC-402	capability publication	release_gate	Capability currently lists PointCurve as deferred diagnostic and PointCurve/default_or_todo_branch_support as non-goals while default_or_todo_boundaries remain published	cad-core/src/runtime/capability_contract.cpp;cad-core/tests/test_adapters.py	S5/S6	Close after final supported/default/non-goal fields match oracle route
C9M3-SCOPE-302	C9M3-SRC-301;C9M3-SRC-303;C9M3-SRC-401;C9M3-SRC-402	diagnostics guard	diagnostics_guard_review	unsupportedReasonForOndselJoint plus focused tests keep unsupported JointType missing marker missing grounded PointCurve diagnostic and unaccepted default boundaries visible	cad-core/tests/test_p8_features.py;cad-core/tests/test_adapters.py	S5/S6	Close after focused tests prove diagnostics remain visible
C9M3-SCOPE-303	C9M3-SRC-302;C9M3-SRC-403	expected metadata publication	release_gate	Collector and checked-in expected still retain DTE-NG-003 known-gap or nonGoal metadata for PointCurve and default boundary rows; accepted rows must remove stale metadata while retained rows keep delete condition	cad-core/tools/collect_freecad_expected.py;cad-core/fixtures/c3m6/expected	S5/S6	Close after expected metadata matches final route
C9M3-SCOPE-304	C9M3-SRC-303;C9M3-SRC-401;C9M3-SRC-402	final focused validation	release_gate	Final release evidence must include focused runtime tests adapter capability smoke docs queue TSV and diff checks after S3-S6 route is known	cad-core/tests/test_p8_features.py;cad-core/tests/test_adapters.py;cad-core/src/runtime/capability_contract.cpp	S6	Close after required validations and queue-empty proof
C9M3-SCOPE-401	C9M3-SRC-101;C9M3-SRC-303;C9M3-SRC-402	non-AssemblyLink primitive frame	diagnostic_non_goal	C9-M3 source review found no product DTO change; capability and adapter tests keep primitive frame generalization out of scope pending product DTO and native oracle	cad-core/src/runtime/capability_contract.cpp;cad-core/tests/test_adapters.py	S0/S2	Remain non-goal unless product boundary changes
C9M3-SCOPE-402	C9M3-SRC-101;C9M3-SRC-303	persistent Assembly session	diagnostic_non_goal	CAD Core remains stateless request-local with no cross-request solver state; DistanceType work must use request graph and returned diagnostics/updates only	docs/CADCore方案/00-CAD-Core抽取方案.md;cad-core/src/runtime/capability_contract.cpp	S0/S2	Remain non-goal unless product boundary changes
C9M3-SCOPE-403	C9M3-SRC-201;C9M3-SRC-303	GUI/session DistanceType editing	diagnostic_non_goal	S1 source authority is FreeCAD App solver classification and cad-core request-local runtime; GUI ViewProvider TaskPanel editing remains outside this batch	src/Mod/Assembly/Gui;cad-core/src/runtime/capability_contract.cpp	S0/S2	Remain non-goal
C9M3-SCOPE-404	C9M3-SRC-201;C9M3-SRC-203;C9M3-SRC-301;C9M3-SRC-302;C9M3-SRC-403	unsupported guessing and inherited support	forbidden_claim	Default branch support must be source-backed and expected-backed per DistanceType row; S1 explicitly forbids inheriting support from one fixture, PlaneCone, or adapter wording that hides current default_boundary_not_mapped	cad-core/src/assembly/joint_solver.cpp;cad-core/tools/collect_freecad_expected.py	S2/S4	Remain forbidden unless the row has source and native oracle evidence
