candidate_id	source_file	freecad_symbol	semantic_axis	source_evidence	cad_core_landing	scope_hint	next_step
P5P6-CAND-001	src/Mod/Sketcher/App/SketchObjectExternal.cpp	SketchObject::toggleExternalGeometryFlag	external_geometry_flags	Toggles related external geometry flags and rebuilds except frozen-off path	cad-core/src/sketcher/sketch_object_external.cpp; cad-core/include/cad_core/sketcher/sketch_object.h	in_scope	Route flag mutation rules to S3 state-machine review
P5P6-CAND-002	src/Mod/Sketcher/App/SketchObjectExternal.cpp	SketchObject::syncGeometry	external_geometry_flags	Sets Sync on all related frozen geometry before rebuild consumption	cad-core/src/sketcher/sketch_object_external.cpp	in_scope	Route frozen sync semantics to S3
P5P6-CAND-003	src/Mod/Sketcher/App/SketchObjectExternal.cpp	SketchObject::rebuildExternalGeometry	external_geometry_lifecycle	Reads ExternalGeometry, ExternalTypes, ExternalGeo, ref keys, Frozen, Sync, Defining and Missing	cad-core/src/sketcher/sketch_object_external.cpp; cad-core/src/runtime/recompute.cpp	in_scope	Split Defining, Frozen, Sync, Detached, Missing rows in S3
P5P6-CAND-004	src/Mod/Sketcher/App/SketchObjectExternal.cpp	SketchObject::rebuildExternalGeometry missing repair	reference_resolver	For Missing refs, calls GeoFeature::resolveElement and re-adds recovered object/subelement	cad-core/src/sketcher/sketch_object_external.cpp; cad-core/src/app/geo_feature.cpp	in_scope	Route old external ref recovery to S2 resolver classification
P5P6-CAND-005	src/Mod/Sketcher/App/SketchObjectExternal.cpp	SketchObject::rebuildExternalGeometry projection/intersection	external_geometry_projection	Projects faces/edges/vertices or intersects shape with sketch plane, then sets ref on produced geos	cad-core/src/sketcher/sketch_object_external.cpp; cad-core/src/part/part_feature.cpp	in_scope	Route projection/intersection fixture candidates to S3
P5P6-CAND-006	src/Mod/Sketcher/App/SketchObjectExternal.cpp	SketchObject::rebuildExternalGeometry missing diagnostics	external_geometry_missing	Sets Sync false, marks Missing when refSet lacks ref, and throws during recompute	cad-core/src/sketcher/sketch_object_external.cpp; cad-core/src/runtime/diagnostics.cpp	in_scope	Route Missing diagnostic shape to S3/S6
P5P6-CAND-007	src/Mod/Sketcher/App/SketchObjectExternal.cpp	SketchObject::fixExternalGeometry	external_geometry_repair	Uses Part::Feature::getRelatedElements to replace missing ref with mapped name and rebuild	cad-core/src/sketcher/sketch_object_external.cpp; cad-core/src/part/part_feature.cpp	in_scope	Route manual missing-repair semantics to S3
P5P6-CAND-008	src/Mod/Sketcher/App/SketchObjectExternal.cpp	SketchObject::updateGeometryRefs	reference_resolver	Builds externalGeoRef from shadow newName or sub, oldElementName/newElementName and legacy ref map	cad-core/src/sketcher/sketch_object_external.cpp; cad-core/src/app/property_links.cpp	in_scope	Route legacy ref normalization to S2 resolver classification
P5P6-CAND-009	src/Mod/Sketcher/App/SketchObjectExternal.cpp	SketchObject::getGeometryReference	reference_resolver	Displays Missing refs with '? ' and resolves current oldName via GeoFeature::resolveElement	cad-core/src/sketcher/sketch_object_external.cpp; cad-core/src/runtime/diagnostics.cpp	in_scope	Route UI-visible reference string semantics to S3/S6 diagnostics
P5P6-CAND-010	src/Mod/Sketcher/App/ExternalGeometryExtension.h; src/Mod/Sketcher/App/ExternalGeometryExtension.cpp	ExternalGeometryExtension	external_geometry_flags	Defines Defining, Frozen, Detached, Missing, Sync flags plus Ref, RefIndex, save/restore	cad-core/include/cad_core/sketcher/sketch_object.h; cad-core/src/sketcher/sketch_object_external.cpp	in_scope	Map request JSON state fields and persistence-equivalent inputs
