id	source	symbols	role	current_landing	owner_step	review_status	next_action
C12M15-SRC-001	src/Mod/Sketcher/App/SketchObject.cpp	updateGeoHistory	FreeCAD deleted geometry history authority	cad-core/src/sketcher/sketch_edge_identity.cpp	S1	pending	S1 must record how endpoint history feeds geometry id reuse; S2 maps this to request-local ledger semantics without persistent backend session.
C12M15-SRC-002	src/Mod/Sketcher/App/SketchObject.cpp	generateId	FreeCAD geometry extension id allocation/reuse authority	cad-core/src/sketcher/sketch_object_geometry.cpp;cad-core/src/sketcher/sketch_object_operations.cpp	S1	pending	S1 must record when ids are generated, reused, or newly allocated; S2 must separate geometry id from EdgeN index.
C12M15-SRC-003	src/Mod/Sketcher/App/SketchObject.cpp	convertSubName	FreeCAD mapped name authority for EdgeN to gID/eID	cad-core/src/sketcher/sketch_edge_identity.cpp;cad-core/src/runtime/recompute.cpp	S1	pending	S1 must verify mapped name wording and C++ comments; S2 defines stableSubname=g<ID> only when identityStatus=stable.
C12M15-SRC-004	src/Mod/Sketcher/App/SketchObject.cpp;src/Mod/Sketcher/App/SketchObjectGeometry.cpp	getEdge;getGeometry	Current edge shape lookup authority	cad-core/src/runtime/reference_resolution.cpp	S1	pending	S1 must confirm current shape resolution is request-local; S2/S3 avoid persistent TopoDS cache.
C12M15-SRC-005	src/Mod/Sketcher/App/GeoEnum.h	GeoId comments	List-index identity terminology authority	docs/CADCore12.0/C12-M15-SketchStableGeometryIdMappedNameLedger设计批次	S1	pending	S1 must document GeoId/indexed EdgeN versus geometry extension id distinction.
C12M15-SRC-101	cad-core/include/cad_core/sketcher/sketch_edge_identity.h	SketchGeometryIdentity;RawSketchEdgeIdentityLedger	Current cad-core ledger interface candidate	cad-core/include/cad_core/sketcher/sketch_edge_identity.h	S1/S2	pending	S2 decides whether to deepen this interface or create a renamed SketchGeometryIdentityLedger interface.
C12M15-SRC-102	cad-core/src/sketcher/sketch_edge_identity.cpp	stableSubnameForGeometryId;buildRawSketchEdgeIdentityLedger;publishRawSketchEdgeIdentity	Current stableSubname and response field materialization	cad-core/src/sketcher/sketch_edge_identity.cpp	S1/S2/S3	pending	S1 records current behavior; S3 classifies missing split/reorder/fallback cases.
C12M15-SRC-103	cad-core/src/sketcher/sketch_object_geometry.cpp	readGeometryIdField;duplicate_geometry_id;invalid_geometry_id	Current input geometryId parser and diagnostics	cad-core/src/sketcher/sketch_object_geometry.cpp	S1/S3	pending	S3 decides whether parser diagnostics satisfy S2 contract.
C12M15-SRC-104	cad-core/src/runtime/recompute.cpp	responseMesh;responseSubshapes	Current public response field publisher	cad-core/src/runtime/recompute.cpp	S1/S2/S3	pending	S2 defines field contract; S3 checks whether mesh.edgeSegments and subshapes stay aligned.
C12M15-SRC-105	cad-core/src/runtime/reference_resolution.cpp	rawSketchSourceIdentityForStable;resolveReferenceSubshape	Current StableSubList/sourceGeometryId consumer	cad-core/src/runtime/reference_resolution.cpp	S1/S3	pending	S3 decides whether reference resolution covers reorder/delete/kind drift and avoids order guessing.
