id	area	source_path	symbol	freecad_signal	cad_core_landing	scope	status	notes
PARTCONIC-CAND-001	FreeCAD-Part-Geometry	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Geometry.cpp	GeomHyperbola::Save/Restore	Lines 3875-3936 persist CenterX/Y/Z, NormalX/Y/Z, MajorRadius, MinorRadius, AngleXU and restore with GC_MakeHyperbola	cad-core/src/part/part_geometry_curve.*	PARTCONIC-SCOPE-002	closed-S1	Hyperbola canonical DTO fields are center, normal, majorRadius, minorRadius, angleXU; this is Part geometry, not Sketcher public API
PARTCONIC-CAND-002	FreeCAD-Part-Geometry	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Geometry.cpp	GeomArcOfHyperbola::Save/Restore	Lines 4152-4233 add StartAngle and EndAngle and restore with GC_MakeArcOfHyperbola(..., Standard_True)	cad-core/src/part/part_geometry_curve.*	PARTCONIC-SCOPE-004	closed-S1	Finite Hyperbola edge DTO adds startAngle/endAngle; S2 may keep Python constructor sense as oracle axis, but Save/Restore canonical path is Standard_True
PARTCONIC-CAND-003	FreeCAD-Part-Geometry	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Geometry.cpp	GeomParabola::Save/Restore	Lines 4319-4378 persist CenterX/Y/Z, NormalX/Y/Z, Focal, AngleXU and restore with gce_MakeParab	cad-core/src/part/part_geometry_curve.*	PARTCONIC-SCOPE-002	closed-S1	Parabola canonical DTO fields are center, normal, focal, angleXU
PARTCONIC-CAND-004	FreeCAD-Part-Geometry	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Geometry.cpp	GeomArcOfParabola::Save/Restore	Lines 4523-4599 add StartAngle and EndAngle and restore with GC_MakeArcOfParabola(..., Standard_True)	cad-core/src/part/part_geometry_curve.*	PARTCONIC-SCOPE-005	closed-S1	Finite Parabola edge DTO adds startAngle/endAngle; Parabola stays in same batch as Hyperbola
PARTCONIC-CAND-005	FreeCAD-Part-Geometry	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Geometry.h	GeomHyperbola / GeomArcOfHyperbola / GeomParabola / GeomArcOfParabola classes	Lines 720-835 define Geom* geometry classes and arc classes with getPyObject/toNurbs/handle APIs	cad-core/src/part/part_geometry_curve.*	PARTCONIC-SCOPE-002	closed-S1	Class boundary is Geometry/GeomConic, not App::DocumentObject; helper should model typed geometry conversion
PARTCONIC-CAND-006	FreeCAD-Part-Python	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/AppPart.cpp	Part module type registration	Lines 313-319 register Hyperbola, Parabola, ArcOfParabola, ArcOfHyperbola Python types; lines 531-535 init GeomArcOfParabola, GeomArcOfHyperbola, GeomHyperbola, GeomParabola	cad-core adapter / collector contract	PARTCONIC-SCOPE-003	closed-S1	This is Python geometry API registration, not Part::Hyperbola / Part::Parabola DocumentObject registration
PARTCONIC-CAND-007	FreeCAD-Part-Python	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/HyperbolaPyImp.cpp	HyperbolaPy::PyInit	Lines 55-176 support empty constructor, copy constructor, S1/S2/Center constructor, and Center/MajorRadius/MinorRadius constructor using GC_MakeHyperbola	cad-core/tools/collect_freecad_expected.py	PARTCONIC-SCOPE-006	closed-S1	Collector can build FreeCAD oracle via Part.Hyperbola, but cad-core DTO should use canonical Save/Restore fields rather than exposing Python overloads as public schema
PARTCONIC-CAND-008	FreeCAD-Part-Python	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/ParabolaPyImp.cpp	ParabolaPy::PyInit	Lines 55-126 support empty constructor, copy constructor, and Focus/Center/Normal constructor using gce_MakeParab	cad-core/tools/collect_freecad_expected.py	PARTCONIC-SCOPE-006	closed-S1	Collector can build FreeCAD oracle via Part.Parabola; canonical DTO records focal/axis fields from Geometry Save/Restore
PARTCONIC-CAND-009	FreeCAD-Part-Python	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/ArcPyImp.cpp	ArcPy::PyInit Hyperbola / Parabola overloads	Lines 150-156 and 178-184 accept ParabolaPy or HyperbolaPy with u1/u2/optional sense and call GC_MakeArcOfParabola or GC_MakeArcOfHyperbola	cad-core/tools/collect_freecad_expected.py	PARTCONIC-SCOPE-006	closed-S1	Defines oracle trim route; S2 should decide whether sense is a fixture axis or only a collector construction detail
PARTCONIC-CAND-010	FreeCAD-Part-Topo	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeEdgePyImp.cpp	TopoShapeEdgePy::getCurve	Lines 949-960 map GeomAbs_Hyperbola to HyperbolaPy and GeomAbs_Parabola to ParabolaPy	cad-core/src/part/topo_shape_reference.cpp; tests	PARTCONIC-SCOPE-008	closed-S1	Result edge extraction must preserve native conic metadata, not downcast to BSpline/polyline
PARTCONIC-CAND-011	FreeCAD-Part-Primitive	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/PrimitiveFeature.cpp	PROPERTY_SOURCE list	Lines 68, 161, 210, 270, 333, 388, 481, 540, 621, 688, 758, 819, 943, 1020, 1116 list primitive DocumentObjects; rg finds no Hyperbola or Parabola in this file	cad-core/src/runtime/feature_registry.cpp	PARTCONIC-SCOPE-003	closed-S1	Do not register Part::Hyperbola / Part::Parabola; FreeCAD source does not support those TypeIds
PARTCONIC-CAND-012	cad-core-current	/Users/li/Chili3DProject/FreeCAD/cad-core/src/runtime/feature_registry.cpp	registerDefaultExecutors	Lines 72-105 register current Part primitives and consumers from Vertex through BooleanFragments; no Hyperbola/Parabola	cad-core/src/runtime/feature_registry.cpp	PARTCONIC-SCOPE-003	closed-S1	Current cad-core matches FreeCAD absence; keep registry unchanged for S1/S2
PARTCONIC-CAND-013	cad-core-current	/Users/li/Chili3DProject/FreeCAD/cad-core/include/cad_core/part/part_feature.h	part executor declarations	Lines 9-33 declare current Part executor functions; no executePartHyperbola or executePartParabola	cad-core/include/cad_core/part/part_feature.h	PARTCONIC-SCOPE-003	closed-S1	Header also confirms no current source-backed executor contract
PARTCONIC-CAND-014	cad-core-current	/Users/li/Chili3DProject/FreeCAD/cad-core/src/part/primitive_feature.cpp	executePartEllipse / publishPrimitive	Lines 1163-1245 show existing DocumentObject primitive pattern for Ellipse edge publication	cad-core/src/part/part_geometry_curve.*	PARTCONIC-SCOPE-004	open-S3	Reuse publication and diagnostics style only after DTO edge helper exists; do not clone Ellipse into fake Part::Hyperbola/Part::Parabola
PARTCONIC-CAND-015	cad-core-current	/Users/li/Chili3DProject/FreeCAD/cad-core/src/sketcher/sketch_object_operations.cpp	Sketch conic arc edge build	Existing GC_MakeArcOfHyperbola / GC_MakeArcOfParabola code proves OCCT dependency availability	cad-core/src/part/part_geometry_curve.*	PARTCONIC-SCOPE-004	open-S3	Can share low-level helper only if dependency direction stays Part/geometry-owned, not Sketcher-owned
PARTCONIC-CAND-016	FreeCAD-Part-Consumer	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/FeatureExtrusion.cpp	Extrusion of curve / surface behavior	Part Extrusion can consume non-solid base shapes and has special curve/surface handling	cad-core/src/part/part_extrusion.cpp	PARTCONIC-SCOPE-009	open-S4	First consumer gate for conic edge to surface-like result
