oracle_id	scope_id	fixture_or_test	current_state	owner_class	expected_artifact	assertion_route	next_step
C6M3-ORC-000	C6M3-SCOPE-000	stage baseline	closed_by_S0	baseline	docs evidence	queue and rg checks	S0 recorded current gap; keep closed
C6M3-ORC-101	C6M3-SCOPE-401	partdesign-pipe-interpolation-law-product-additive	implemented_by_S5	cad_core_product_contract	cad-core/fixtures/c6m3/partdesign-pipe-interpolation-law-product.json;cad-core/fixtures/c6m3/expected/partdesign-pipe-interpolation-law-product.freecad.json	CadCoreP7FeatureTest.test_c6m3_partdesign_pipe_interpolation_law_products_publish_contract_metadata	S5 created additive product fixture from the C6-M1 seed without mutating legacy input; asserts status ok, shape present, pipe_law.kind=Interpolation source/contract=cad_core_product_contract domain=[0.0,1.0] normalized samples no_fallback=true, bbox/topology, and PipeShell history
C6M3-ORC-102	C6M3-SCOPE-402	partdesign-pipe-interpolation-law-product-subtractive	implemented_by_S5	cad_core_product_contract	cad-core/fixtures/c6m3/partdesign-pipe-interpolation-law-subtractive-product.json;cad-core/fixtures/c6m3/expected/partdesign-pipe-interpolation-law-subtractive-product.freecad.json	CadCoreP7FeatureTest.test_c6m3_partdesign_pipe_interpolation_law_products_publish_contract_metadata	S5 proved SubtractivePipe Interpolation product fixture preserves add_sub=sub, Body replayed_subtractive_features, part_sweep:pipeshell_history, part_design_pipe:sewing, bbox/topology, and no fallback
C6M3-ORC-111	C6M3-SCOPE-401	missing_pipe_law_samples	implemented_by_S5	diagnostics_contract	cad-core/fixtures/c6m3/partdesign-pipe-invalid_pipe_law_samples-diagnostics.json;cad-core/fixtures/c6m3/expected/partdesign-pipe-invalid_pipe_law_samples-diagnostics.freecad.json	CadCoreP7FeatureTest.test_c6m3_partdesign_pipe_interpolation_law_samples_diagnostics_are_locatable	S5 asserts missing_pipe_law_samples for absent LawSamples, property=LawSamples, object.status=error, pipe_law.status=invalid, no shape and no Linear/S-shape fallback
C6M3-ORC-112	C6M3-SCOPE-401	invalid_pipe_law_samples_malformed	implemented_by_S5	diagnostics_contract	cad-core/fixtures/c6m3/partdesign-pipe-invalid_pipe_law_samples-diagnostics.json;cad-core/fixtures/c6m3/expected/partdesign-pipe-invalid_pipe_law_samples-diagnostics.freecad.json	CadCoreP7FeatureTest.test_c6m3_partdesign_pipe_interpolation_law_samples_diagnostics_are_locatable	S5 asserts invalid_pipe_law_samples for object-form samples, scalar lists, missing entries, extra entries, nulls, strings and fewer than two samples; no repair or fallback
C6M3-ORC-113	C6M3-SCOPE-401	invalid_pipe_law_samples_domain	implemented_by_S5	diagnostics_contract	cad-core/fixtures/c6m3/partdesign-pipe-invalid_pipe_law_samples-diagnostics.json;cad-core/fixtures/c6m3/expected/partdesign-pipe-invalid_pipe_law_samples-diagnostics.freecad.json	CadCoreP7FeatureTest.test_c6m3_partdesign_pipe_interpolation_law_samples_diagnostics_are_locatable	S5 asserts invalid_pipe_law_samples for non-number/out-of-range/nonmonotonic parameters and missing endpoint coverage; no sorting, clamping or endpoint injection
C6M3-ORC-114	C6M3-SCOPE-401	invalid_pipe_law_samples_scale	implemented_by_S5	diagnostics_contract	cad-core/fixtures/c6m3/partdesign-pipe-invalid_pipe_law_samples-diagnostics.json;cad-core/fixtures/c6m3/expected/partdesign-pipe-invalid_pipe_law_samples-diagnostics.freecad.json	CadCoreP7FeatureTest.test_c6m3_partdesign_pipe_interpolation_law_samples_diagnostics_are_locatable	S5 asserts invalid_pipe_law_samples for zero, negative, or non-number scale; no absolute-value repair or default scale
C6M3-ORC-115	C6M3-SCOPE-301	invalid_pipe_law_shape_or_no_executable_contract	deferred_to_S6_scope_review	diagnostics_contract	docs evidence	tests.test_p7_features	S5 published the implemented LawSamples product contract and missing/malformed/domain/scale diagnostics only; S6 should decide whether invalid profile/spine shape diagnostics need a separate fixture row, while no_executable_pipe_law_contract is obsolete after S3/S4
C6M3-ORC-201	C6M3-SCOPE-201	Interpolation law kernel focused test	implemented_by_S3	geometry_kernel	cad-core/tests/c6m3_pipe_interpolation_law_probe.cpp;cad-core/tests/test_p7_features.py	CadCoreP7FeatureTest.test_c6m3_pipe_interpolation_law_kernel_probe	Closed by S3: dedicated probe builds no-law and Interpolation PipeShells through makeElementPipeShellFromSources, proves bbox Y/Z width grows 1.0 to 2.0, publishes no_fallback probe metadata, and preserves part_sweep:pipeshell_history
C6M3-ORC-301	C6M3-SCOPE-301	feature_pipe valid and invalid executor tests	implemented_by_S4	executor_contract	cad-core/tests/test_p7_features.py	CadCoreP7FeatureTest.test_c6m3_partdesign_pipe_interpolation_law_products_publish_contract_metadata;CadCoreP7FeatureTest.test_c6m3_partdesign_pipe_interpolation_law_samples_diagnostics_are_locatable	S4 closed executor path; S5 replaced temp-payload publication checks with permanent c6m3 fixtures and capability assertions
