category_id	category_name	priority	scope_ids	routing_status	product_decision_needed	classification_reason	recommended_next_step
C6M2-CAT-000	live_regression_baseline	C6-P0	C6M2-SCOPE-000	baselineFrozen	no	S0 recorded exact current failure list; S1 consumes it without rerunning stage regression	closed by S0
C6M2-CAT-101	per_fixture_owner_matrix	C6-P0	C6M2-SCOPE-101	authorityReviewed	no	S2 replaced every pending authority decision in C6M2-ORC-001 through C6M2-ORC-015 with refresh_expected, fix_implementation, or leave_blocked	closed by S2
C6M2-CAT-211	diagnostic_codes_contract_drift	C6-P0	C6M2-SCOPE-201	closedByS3WithS5Exception	no	S3 refreshed approved diagnostic/error expected rows ORC-002/004/008/009/010/011/014; ORC-007 execution_failed remains broader Body/Pocket implementation and is routed to S5	ORC-007 S5 Body/Pocket fix; diagnostic refresh rows closed
C6M2-CAT-212	external_geometry_count_contract_drift	C6-P0	C6M2-SCOPE-201	closedByS3	no	S3 fixed ProbeSketch external_geometry_count by reporting ReferenceShadow StableSubList retarget as one ExternalGeo entry while preserving projected geometry	closed; keep test_p6_topology count guard
C6M2-CAT-213	link_schema_or_type_drift	C6-P0	C6M2-SCOPE-201	closedByS3	no	S3 refreshed ORC-012 expected to App::Link group contract: app_link_group, element_count metadata, visible_indices and owner-list-sync bbox	closed
C6M2-CAT-214	assembly_solver_adapter_schema_drift	C6-P0	C6M2-SCOPE-201	closedByS3	no	S3 fixed solver_adapter schema so grounded-only noop includes solver_joints=[] and placement_updates=[]	closed; keep test_p8_features schema guard
C6M2-CAT-301	bbox_geometry_or_occt_drift	C6-P0	C6M2-SCOPE-301	leave_blocked	yes	ORC-001/003/006/013 have checked-in FreeCAD 1.2.0 bbox expected but current OCCT 7.9.3 output differs; S2 lacks same-baseline OCCT or precise-bbox evidence to approve refresh or known gap	S4 geometry/OCCT closure with close condition
C6M2-CAT-411	expected_stale_after_intended_behavior	C6-P0	C6M2-SCOPE-401	closedByS3	no	S3 consumed S2 approved expected refresh rows ORC-002/004/008/009/010/011/012/014 with narrow diagnostic/error or App::Link group updates	closed for S3; no blanket refresh
C6M2-CAT-412	implementation_regression	C6-P0	C6M2-SCOPE-401	partiallyClosedByS3	no	S3 fixed ORC-005 external_geometry_count and ORC-015 solver_adapter schema; ORC-007 Body/Pocket subtractive-without-base is queued for S5	S5 fix ORC-007 or document approved owner/deletion condition
C6M2-CAT-501	stage_release_gate	C6-P0	C6M2-SCOPE-501	pending	no	Stage regression remains blocked until authority and approved fixes/refreshes close the 15 classified rows	S6 publish status
