gate_id	scope_id	state	route	current_evidence	decision_rule	next_step
C7M6-GATE-000	C7M6-SCOPE-000	closed	baseline_frozen	HEAD=60876b2f6c; start status only root README modified plus C7-M6 package untracked; C7-M1..M5 queues empty; c3m6 expected/test boundary summarized	S0 closed baseline and can advance to S1	S1
C7M6-GATE-101	C7M6-SCOPE-101	closed	already_covered	S1/S2 rechecked AssemblyObject::solve and cad-core solverSummary / solveAssemblyWithRealOndselAdapter; current c3m6 tests cover grounded JointType matrix, real_ondsel_solver mode and placement updates	Do not reopen this baseline unless a new source-backed lifecycle outside existing expected is named	S3
C7M6-GATE-201	C7M6-SCOPE-201	closed	already_covered	S1/S2 rechecked handleOneSideOfJoint and current marker resolver; 34 expected files carry native_marker_oracle and focused tests assert object-level plus Vertex/Edge/Face subshape marker evidence	Covered marker native oracle batch stays expected-backed; S3 must not recollect it as a new gap	S3
C7M6-GATE-202	C7M6-SCOPE-202	closed	already_closed_expected_backed	S4 legacy recompute for assembly-marker-custom-placement-chain-real-solver matches S3 native expected after excluding stale collector known_gap/backendGap metadata; placement update max delta about 4.44e-16 and marker placement deltas <=2.22e-16; CadCoreP8FeatureTest passed	S5 keeps no-code publication route; no C++ implementation gate opens for this oracle	S5
C7M6-GATE-203	C7M6-SCOPE-203	blocked	oracle_blocked	S3 source probe found offsetPlc is generated only under preDrag bundleFixed lifecycle and current collector solve(False) cannot observe non-identity offsetPlc; S4 obtained no new native evidence	Carry oracle_blocked; reopen only with source-backed native preDrag / bundled fixed probe	S5
C7M6-GATE-301	C7M6-SCOPE-301	closed	already_covered_with_diagnostic_boundary	S1/S2 rechecked makeMbdJointOfType and makeOndselJointOfType; current tests cover Fixed/Revolute/Cylindrical/Slider/Ball/Distance/Parallel/Perpendicular/Angle/RackPinion/Screw/Gears/Belt, PointLine source/native expected delta and unsupported preconditions	Preserve expected-backed rows and DTE-NG-003 diagnostic boundaries	S3
C7M6-GATE-302	C7M6-SCOPE-302	blocked	oracle_blocked	S3 fixture/probe reached native solver and captured signed current value, but collector output lacks zero Angle fallback solver_joint_class / fallback evidence required by S2; S4 obtained no new native evidence	Carry oracle_blocked; do not use incomplete collector output as expected or infer backend gap	S5
C7M6-GATE-401	C7M6-SCOPE-401	closed	already_covered	S1/S2 rechecked FreeCAD setNewPlacements and cad-core documentObjectUpdates; tests cover single update, multi-component order, partial update and next-request no-update behavior	No additional writeback oracle candidate selected in S2	S3
C7M6-GATE-501	C7M6-SCOPE-501	closed	diagnostic_non_goal	GUI / drag / persistent solver / cross-request state / full Link lifecycle / Worker adapter boundaries remain outside stateless CAD Core Assembly solver scope	S3 must not collect native golden or open implementation gate for these paths	S3
C7M6-GATE-601	C7M6-SCOPE-601	closed	no_code_publication_closed	S5 published implementation gate closed route: C7M6-ORACLE-202 already_closed_expected_backed; C7M6-ORACLE-302 blocked pending zero Angle fallback class evidence; C7M6-ORACLE-203 blocked pending native preDrag/bundled offsetPlc probe; no cad-core C++/adapter/test/fixture/expected edits	S6 release gate may proceed with docs/matrix validation only unless S6 adds code/fixture/expected/capability changes	S6
C7M6-GATE-701	C7M6-SCOPE-000	pending	release_pending	S5 no-code publication closure is complete; queue now points to S6	S6 runs release gate and empties queue	S6
