id	source	symbols	role	current_landing	owner_step	review_status	next_action
C12M16-SRC-001	src/Mod/Part/App/FaceMakerBuildFace.cpp	splitSelfIntersecting;myPreSplitHistory;myPreSplitCompound	FreeCAD self-intersection pre-split source edge to fragment history authority	cad-core/src/sketcher/sketch_edge_identity.cpp;cad-core/src/sketcher/sketch_internal_result.cpp	S1	reviewed_s1	S2 adds red expectations for one geometryId producing many fragments; S3 must consume history-backed source->fragment evidence before publishing g<ID>:splitN.
C12M16-SRC-002	src/Mod/Part/App/FaceMaker.cpp	postBuild;MapperHistory;MapperMaker;mySplitter	FreeCAD FaceMaker two-stage history chaining authority	cad-core/src/sketcher/sketch_edge_identity.cpp;cad-core/src/runtime/recompute.cpp	S1	reviewed_s1	S3 must model preSplitSources then splitter mapper flow; no response-order token guessing.
C12M16-SRC-003	src/Mod/Part/App/WireJoiner.cpp	splitEdges;MapperHistory;EdgeInfo;sourceEdgeArray	FreeCAD WireJoiner split ownership bookkeeping authority	cad-core/src/sketcher/sketch_internal_result.cpp;cad-core/src/runtime/capability_contract.cpp	S1	reviewed_s1	S2 should isolate first WireJoiner subset because aHistory records intersectShape->newInfo.edge while removedEdge mapping is not active.
C12M16-SRC-004	src/Mod/Sketcher/App/SketchObject.cpp	buildInternals;getInternalElementMap;InternalShape	FreeCAD sketch internal alias authority	cad-core/src/runtime/recompute.cpp;cad-core/src/runtime/reference_resolution.cpp	S1	reviewed_s1	S3/S4 publish fragment identity for InternalEdge/InternalFace only when FaceMaker/WireJoiner history or internal alias is authoritative.
C12M16-SRC-005	src/Mod/Part/App/TopoShapeExpansion.cpp	MapperHistory;MapperMaker;getMappedName	ElementMap / mapped name propagation authority	cad-core/src/runtime/reference_resolution.cpp;cad-core/src/part	S1	reviewed_s1	S3 should bridge fragment history into ElementMap-style ledger before runtime response/reference consumption.
C12M16-SRC-101	cad-core/include/cad_core/sketcher/sketch_edge_identity.h	SketchGeometryIdentity;RawSketchEdgeIdentityLedger	Current identity API extension point	cad-core/include/cad_core/sketcher/sketch_edge_identity.h	S1/S3	reviewed_s1	Current API has only indexed+source edges; S3 adds fragment token/source-to-many fields or an equivalent wrapped view.
C12M16-SRC-102	cad-core/src/sketcher/sketch_edge_identity.cpp	buildRawSketchEdgeIdentityLedger;rawSketchEdgeIdentityObject	Current raw ledger materialization	cad-core/src/sketcher/sketch_edge_identity.cpp	S1/S3	reviewed_s1	Current byStableSubname writes only g<ID> -> EdgeN; S3 extends it to g<ID>:splitN without source-order guessing.
C12M16-SRC-103	cad-core/src/runtime/recompute.cpp	responseMesh;responseSubshapes	Current response publisher	cad-core/src/runtime/recompute.cpp	S3/S4	reviewed_s1	Response already passes identity fields from mesh/subshapes; S4 verifies all public surfaces read one fragment ledger.
C12M16-SRC-104	cad-core/src/runtime/reference_resolution.cpp	resolveReferenceShadow;rawSketchSourceIdentityForStable;sourceStableSubnameForReference	Current stable reference consumer	cad-core/src/runtime/reference_resolution.cpp	S3/S4	reviewed_s1	Raw sketch path accepts only plain g<ID>; S4 resolves g<ID>:splitN through fragment ledger and keeps diagnostics for ambiguous/missing fragments.
C12M16-SRC-105	cad-core/tests/test_p5_sketch.py	g305:split1;subname_split_requires_reselect;ReferenceShadow;raw_edge_identity	Existing split/reselect focused evidence	cad-core/tests/test_p5_sketch.py	S1/S2	reviewed_s1	S2 turns current g305:split1 recovery and ReferenceShadow split diagnostics into red tests for durable fragment ledger behavior.
