id	semantic	freecad_source	cad_core_landing	inspection_or_event	status
FGMN1-SRC-001	Recorder/value model	src/App/ElementMapProducerTrace.{h,cpp}	cad-core/include/cad_core/app/element_map_producer_trace.h;cad-core/src/app/element_map_producer_trace.cpp	RAII transaction/scope;value-only events;snapshot hashing;closure;drain	pending
FGMN1-SRC-002	Document request ownership	src/App/private/DocumentP.h::producerTrace;src/App/Document.cpp	cad-core/include/cad_core/runtime/compute_context.h;cad-core/src/runtime/recompute.cpp	request-local recorder created before preflight and shared with StringHasher	pending
FGMN1-SRC-003	StringHasher table	src/App/StringHasher.{h,cpp}	cad-core/include/cad_core/app/string_hasher.h;cad-core/src/app/string_hasher.cpp	const ordered allocation table plus hasher events	pending
FGMN1-SRC-004	MappedName parsing	src/App/MappedName.cpp;src/App/StringHasher.cpp::StringID::fromString	cad-core/src/topo/freecad_mapped_name_codec.cpp;cad-core/src/app/string_hasher.cpp	value parse result/failure without allocation	pending
FGMN1-SRC-005	ElementMap lifecycle	src/App/ElementMap.{h,cpp}	cad-core/include/cad_core/part/topo_shape.h;cad-core/src/part/topo_shape.cpp	observe NamedShape elementMapEntries/provenance/child maps;app/element_map remains Sketch helper	pending
FGMN1-SRC-006	TopoShape ledger inspection	src/Mod/Part/App/TopoShape{,Expansion}.{h,cpp}	cad-core/include/cad_core/part/element_map_producer_trace_snapshot.h;cad-core/src/part/element_map_producer_trace_snapshot.cpp	const NamedShape/shape inventory/child map snapshot	pending
FGMN1-SRC-007	Raw mapper history	src/Mod/Part/App/TopoShapeMapper.{h,cpp};TopoShapeExpansion.cpp	cad-core/src/part/topo_shape.cpp::namedShapeForMakerHistory	capture OCCT M/G/D adjacency before public MapperHistoryEvent dedup	pending
FGMN1-SRC-008	Property Shape handoff	src/Mod/Part/App/PropertyTopoShape.cpp	cad-core/src/part/topo_shape.cpp::namedShapeForPropertyShapeValue;cad-core/src/part/property_topo_shape.cpp	setValue/retag/child range/slot checkpoints	pending
FGMN1-SRC-009	FaceMaker	src/Mod/Part/App/FaceMaker.cpp	cad-core/src/part/face_maker.cpp	pre-split/splitter/bounded face/combo/history events	pending
FGMN1-SRC-010	WireJoiner	src/Mod/Part/App/WireJoiner.cpp	cad-core/src/part/wire_joiner.cpp	value projection of existing runtime ledger;never retain OCCT shape in recorder	pending
FGMN1-SRC-011	Sketch producer	src/Mod/Sketcher/App/SketchObject.cpp	cad-core/src/sketcher/sketch_object.cpp;sketch_internal_builder.cpp;sketch_internal_result.cpp	Shape/InternalShape/profile/open-wire scopes and checkpoints	pending
FGMN1-SRC-012	FeatureExtrude	src/Mod/PartDesign/App/FeatureExtrude.cpp	cad-core/src/part_design/feature_extrude.cpp;feature_pad.cpp;feature_pocket.cpp	branch/prism/AddSubShape/Boolean/refine/final slot	pending
FGMN1-SRC-013	DressUp	src/Mod/PartDesign/App/FeatureDressUp.cpp;FeatureChamfer.cpp;FeatureFillet.cpp	cad-core/src/part_design/feature_dress_up.cpp;feature_chamfer.cpp;feature_fillet.cpp	base selection/maker/cache/refine/final slot	pending
FGMN1-SRC-014	Transformed/Pattern	src/Mod/PartDesign/App/FeatureTransformed.cpp	cad-core/src/part_design/feature_transformed.cpp;feature_linear_pattern.cpp and peers	Originals/instance/transform/boolean/support/final slot	pending
FGMN1-SRC-015	Body Tip	src/Mod/PartDesign/App/Body.cpp::execute	cad-core/src/part_design/body.cpp::getBodyTopoShapeAtFeature/executeBody	Tip ledger inheritance only;no upstream replay	pending
FGMN1-SRC-016	Reference resolution	src/App/PropertyLinks.cpp;src/App/GeoFeature.cpp	cad-core/src/runtime/reference_resolution.cpp;cad-core/src/runtime/element_reference_update.cpp	request item-local resolve/update decisions	pending
FGMN1-SRC-017	CLI publisher	FreeCAD Document drain + collector	cad-core/src/adapters/cli/cli.cpp;cad-core/src/runtime/io.cpp	default companion sidecar;validate before atomic publication	pending
FGMN1-SRC-018	Runner integration	cad-core/tools/collect_freecad_expected.py native side	cad-core/tools/freecad_expected_parity/catalog.py;sources.py;engine.py	actual trace path/materialization;missing trace is runner failure	pending
